m1,m2,f_evals_m,f_evals_std,n_failures,runs
0.01,0.5,40490.333333333336,13448.699573647342,0,3
0.1,0.5,40490.333333333336,13448.699573647342,0,3
0.01,0.7,39061.333333333336,14693.100905602678,0,3
0.01,0.9,39837.666666666664,14371.709625356183,0,3
0.1,0.7,39061.333333333336,14693.100905602678,0,3
0.001,0.7,39061.333333333336,14693.100905602678,0,3
0.001,0.9,39837.666666666664,14371.709625356183,0,3
0.1,0.9,42647.0,10398.712324129368,0,3
0.0001,0.9,37703.0,10727.456579574986,0,3
0.001,0.5,43352.0,9401.691762656335,0,3
0.0001,0.5,43352.0,9401.691762656335,0,3
0.0001,0.7,37148.333333333336,14855.904422896043,0,3
