M,m1,m2,f_evals_m,f_evals_std,n_failures,runs,seconds_m,seconds_std
5,0.01,0.7,8048.333333333333,3176.262093859524,0,3,46.259684906,2.3638484295484825
10,0.01,0.7,7011.666666666667,2943.4845940747773,0,3,40.62305226233332,3.339228886367288
20,0.01,0.7,6037.666666666667,2145.3935665876215,0,3,34.27911273233334,5.603719682862716
50,0.01,0.7,6722.333333333333,2318.530617055169,0,3,39.13985236966666,6.750963049192966
100,0.01,0.7,2667.0,1023.1444994069345,0,3,16.432585136666642,1.6216652269092815
200,0.01,0.7,3178.0,1278.5689917508037,0,3,21.72120048233334,1.0304804748370027
75,0.01,0.7,3936.3333333333335,1846.574546438772,0,3,25.723341376666667,3.368299391209049
150,0.01,0.7,2103.0,813.6637307061601,0,3,13.7885167166667,0.8691502404549628
300,0.01,0.7,1821.0,754.1807917645918,0,3,13.251597233333333,0.3869955846644755
500,0.01,0.7,1433.3333333333333,562.5663417668079,0,3,11.000441453999997,0.4688591846945072
800,0.01,0.7,1431.0,612.9964654601744,0,3,11.494136003666673,0.9561842767525206
1200,0.01,0.7,1373.3333333333333,536.4974888623017,0,3,10.523645677333333,0.9047364298089027
2000,0.01,0.7,1901.0,731.9758648115842,0,3,15.935054004000001,1.3588275848269422
3000,0.01,0.7,1371.3333333333333,580.7129717472786,0,3,10.946442248333335,0.7873526865398781
5000,0.01,0.7,1798.0,707.715102754397,0,3,15.178299711666668,1.1089404138978967
8500,0.01,0.7,1855.6666666666667,757.4066865884463,0,3,16.651976668666666,2.803262011477851
